Species,BodyMass,Longevity
Adeloneivaia boisduvalii,0.001648,NA
Adeloneivaia boisduvalii,0.001381,NA
Adeloneivaia boisduvalii,0.000802,NA
Adeloneivaia boisduvalii,0.000427,NA
Adeloneivaia boisduvalii,0.000694,NA
Adeloneivaia boisduvalii,0.00102,NA
Rhescyntis hippodamia,0.001142,NA
Titaea tamerlan,0.00107,NA
Rothschildea orizaba,0.000891,NA
Rothschildea orizaba,0.001132,NA
Rothschildea orizaba,0.001199,NA
Neocossus sp.,0.001737,NA
Neocossus sp.,0.001607,NA
Neocossus sp.,0.003107,NA
Neocossus sp.,0.000856,NA
Neocossus sp.,0.001624,NA
Neocossus sp.,0.001146,NA
Neocossus sp.,0.001872,NA
Neocossus sp.,0.002224,NA
Megalpyge sp.,0.000218,NA
Megalpyge sp.,0.000627,NA
Lirimiris sp.,0.000564,NA
Hapigia simplex,0.000478,NA
Apetaloides firmiana,0.000169,NA
Euglyphis sp.,8.70E-05,NA
Artace sp.,0.000119,NA
Artace sp.,0.000141,NA
Artace sp.,0.000145,NA
Artace sp.,0.00014,NA
Artace sp.,9.70E-05,NA
Diceroprocta apache,0.000622,NA
Gromphadorhina portentosa,0.00495,NA
Camponotus detritus,NA,NA
Myrmica rubra,9.20E-07,NA
Tetramorium caespitum,2.30E-07,NA
Camponotus herculeanus,6.71E-06,NA
Lasius niger,5.80E-07,NA
Lasius alienus,4.60E-07,NA
Lasius flavus,8.60E-07,NA
Formica exsecta,1.35E-06,NA
Formica pratensis,2.39E-06,NA
Formica fusca,1.47E-06,NA
Drosophila nikkananu,4.90E-07,NA
Drosophila melanogaster,9.50E-07,NA
Drosophila virilis,1.67E-06,NA
Drosophila mimica,2.44E-06,NA
Camponotus vicinus,0.0001074,NA
Apis mellifera,NA,NA
Onymacris unguicularis,0.000737,NA
Anax junius,0.001019,NA
Brachymesia gravida,0.000344,NA
Erythemis simplicicollis,0.000263,NA
Erythrodiplax berenice,0.000125,NA
Erythrodiplax connata,5.20E-05,NA
Erythrodiplax connata,4.90E-05,NA
Erythrodiplax connata,4.90E-05,NA
Libellula auripennis,0.000464,NA
Libellula needhami,0.000518,NA
Libellula spp. (combined),0.000419,NA
Libellula spp. (combined),0.000491,NA
Libellula spp. (combined),0.000443,NA
Miathyria marcella,0.000171,NA
Miathyria marcella,0.000184,NA
Miathyria marcella,0.000172,NA
Pachydiplax longipennis,2.00E-04,NA
Pachydiplax longipennis,0.000186,NA
Pachydiplax longipennis,2.00E-04,NA
Pachydiplax longipennis,0.00019,NA
Pachydiplax longipennis,0.000187,NA
Pachydiplax longipennis,0.000192,NA
Pantala flavescens,0.000339,NA
Perithemis tenera,6.10E-05,NA
Tramea carolina,0.000383,NA
Porcellio laevis,1.41E-05,NA
Porcellio laevis,1.80E-05,NA
Trichoniscus pusillus,6.00E-07,NA
Trichoniscus pusillus,6.00E-07,NA
Trichoniscus pusillus,7.00E-07,NA
Trichoniscus pusillus,6.80E-07,NA
Trichoniscus pusillus,6.80E-07,NA
Trichoniscus pusillus,7.00E-07,NA
Trichoniscus pusillus,6.80E-07,NA
Trichoniscus pusillus,7.80E-07,NA
Trichoniscus pusillus,1.20E-06,NA
Trichoniscus pusillus,1.17E-06,NA
Trichoniscus pusillus,1.20E-06,NA
Trichoniscus pusillus,1.20E-06,NA
Trichoniscus pusillus,1.33E-06,NA
Trichoniscus pusillus,1.30E-06,NA
Trichoniscus pusillus,1.30E-06,NA
Trichoniscus pusillus,1.37E-06,NA
Trichoniscus pusillus,1.37E-06,NA
Trichoniscus pusillus,1.50E-06,NA
Trichoniscus pusillus,1.60E-06,NA
Trichoniscus pusillus,1.70E-06,NA
Trichoniscus pusillus,1.80E-06,NA
Trichoniscus pusillus,1.90E-06,NA
Trichoniscus pusillus,1.90E-06,NA
Trichoniscus pusillus,2.00E-06,NA
Trichoniscus pusillus,2.00E-06,NA
Trichoniscus pusillus,2.10E-06,NA
Microtus nivalis,0.0333,NA
Zapus hudsonius,0.03,NA
Perognathus californicus,0.022,NA
Myopus schisticolor,0.0282,NA
Fukomys mechowi,0.267,NA
Microtus breweri,0.0531,NA
Microtus pennsylvanicus,0.0447,NA
Octomys mimax,0.1186,NA
Tympanoctomys barrerae,0.0518,NA
Tympanoctomys barrerae,0.091,NA
Georychus capensis,0.1065,NA
Georychus capensis,0.1113,NA
Georychus capensis,0.1091,NA
Georychus capensis,0.1129,NA
Georychus capensis,0.1121,NA
Georychus capensis,0.1186,NA
Georychus capensis,0.1192,NA
Georychus capensis,0.1159,NA
Georychus capensis,0.28,NA
Gerbillus allenbyi,0.0353,NA
Gerbillus nanus,0.0284,NA
Cryptomys sp.,0.0819,NA
Fukomys damarensis,0.124,NA
Aepyprymnus rufescens,2.82,NA
Eutamias minimus borealis,0.0493,NA
Eutamias minimus oreocetes,0.0458,NA
Eutamias amoenus luteiventris,0.0573,NA
Otospermophilus beecheyi,0.5996,NA
Erinaceus concolor,0.8227,NA
Spalax ehrenbergi,0.104,NA
Spalax ehrenbergi,0.128,NA
Spalax ehrenbergi,0.117,NA
Spalax ehrenbergi,0.124,NA
Spalax ehrenbergi,0.121,NA
Rhinonicteris aurantia,0.00827,NA
Miniopterus schreibersii,0.01091,NA
Miniopterus gigas,0.1072,NA
Elephantulus rozeti,0.04531,NA
Elephantulus myurus,0.06297,NA
Macroderma gigas,0.15,NA
Perognathus longimembris,0.00823,NA
Perognathus hispidus,0.0395,NA
Tamias striatus,0.0874,NA
Cynomys ludovicianus,1.1123,NA
Tragulus javanicus,1.613,NA
Tragulus javanicus,1.613,NA
Equus Asinus,105.5,NA
Lama glama,115,NA
Madoqua kirkii,3.97,NA
Microtus oeconomus,0.032,NA
Dicrostonyx groenlandicus,0.047,NA
Lemmus trimucronatus,0.064,NA
Mustela rixosa,0.075,NA
Citellus undulatus,0.68,NA
Vulpes lagopus,3.6,NA
Ictidomys tridecemlineatus,0.2338,NA
Cricetomys gambianus,1.8709,NA
Abrothrix andinus,0.0346,NA
Abrothrix longipilis,0.0423,NA
Abrothrix olivaceus,0.027,NA
Auliscomys boliviensis,0.0768,NA
Auliscomys micropus,0.0623,NA
Eligmodontia typus,0.0175,NA
Oryzomys longicaudatus,0.0282,NA
Phyllotis darwini,0.059,NA
Myotomys unisulcatus,0.096,NA
Parotomys brantsii,0.0865,NA
Peropteryx macrotis,0.0051,NA
Natalus tumidirostris,0.0054,NA
Mystromys albicaudatus,0.09378,NA
Peromyscus pirrensis,0.1277,NA
Peromyscus pirrensis,0.1743,NA
Peromyscus pirrensis,0.1397,NA
Peromyscus pirrensis,0.1126,NA
Peromyscus pirrensis,0.1298,NA
Peromyscus pirrensis,0.1436,NA
Tamiasciurus hudsonicus,0.224,NA
Tamiasciurus hudsonicus,0.231,NA
Raphicerus campestris,9.55,NA
Cephalophus monticola,4.15,NA
Tatera afra,0.1483,NA
Macroscelides proboscideus,0.039,NA
Petrodromus tetradactylus,0.20611,NA
Elephantulus intufi,0.04649,NA
Elephantulus brachyrhynchus,0.0453,NA
Geomys bursarius,0.197,NA
Ochrotomys nuttalli,0.0195,NA
Herpestes auropunctatus,0.611,NA
Phyllotis rupestris,0.0555,NA
Phyllotis magister,0.0628,NA
Phyllotis darwini,0.0762,NA
Octodontomys gliroides,0.152,NA
Octodon degus,0.206,NA
Trichomys apereoides,0.323,NA
Chinchilla lanigera,0.426,NA
Kerodon rupestris,0.801,NA
Myoprocta acouchy,0.914,NA
Dolichotis salinicola,1.613,NA
Dasyprocta leporina,2.687,NA
Dasyprocta azarae,3.849,NA
Agouti paca,9.156,NA
Hydrochaeris hydrochaeris,26.4,NA
Condylura cristata,0.049,NA
Otomys sloggetti,0.11329,NA
Nyctophilus major,0.0136,NA
Zaglossus bruijni,13.63,NA
Tachyglossus aculeatus,3.43,NA
Ornithorhynchus anatinus,1.32,NA
Notoryctes caurinus,0.034,NA
Mustela erminea,0.041,NA
Mustela erminea,0.045,NA
Mustela erminea,0.065,NA
Mustela rixosa,0.071,NA
Mustela rixosa,0.077,NA
Mustela rixosa,0.084,NA
Mustela erminea,0.08,NA
Mustela erminea,0.085,NA
Mustela erminea,0.115,NA
Mustela rixosa,0.223,NA
Mustela rixosa,0.231,NA
Cerdocyon thous,6.874,NA
Cerdocyon thous,4.354,NA
Vulpes zerda,1.2,NA
Elephantulus rufescens,0.053,NA
Oxymycterus roberti,0.071,NA
Oxymycterus roberti,0.096,NA
Petrodromus tetradactylus,0.21,NA
Cyclopes didactylus,0.24,NA
Myrmecobius fasciatus,0.4,NA
Tachyglossus aculeatus,2.14,NA
Tachyglossus setosus,3.58,NA
Manis javanica,4.22,NA
Tamandua tetradactyla,3.5,NA
Tamandua mexicana,4.21,NA
Proteles cristata,7.71,NA
Zaglossus bruijni,10.3,NA
Myrmecophaga tridactyla,30.6,NA
Orycteropus afer,48,NA
Clethrionomys californicus,0.0183,NA
Phenacomys intermedius,0.0215,NA
Arborimus longicaudus,0.0218,NA
Clethrionomys gapperi,0.0214,NA
Clethrionomys gapperi,0.0228,NA
Microtus pinetorum,0.0238,NA
Microtus longicaudus,0.0302,NA
Lagurus curtatus,0.0303,NA
Microtus oeconomus,0.0354,NA
Microtus montanus,0.0281,NA
Microtus montanus,0.0304,NA
Microtus montanus,0.0512,NA
Lemmus sibiricus,0.044,NA
Microtus xanthognathus,0.0685,NA
Dicrostonyx groenlandicus,0.0605,NA
Dicrostonyx groenlandicus,0.0623,NA
Arvicola richardsoni,0.08,NA
Neofiber alleni,0.2581,NA
Ondatra zibethicus,1.0046,NA
Hylomys sulillus,0.0773,NA
Mustela vison,0.656,NA
Mustela vison,0.667,NA
Mustela vison,0.788,NA
Lepus arcticus,3.0044,NA
Cebuella pygmaea,0.096,NA
Cebuella pygmaea,0.133,NA
Neurotrichus gibbsii,0.0118,NA
Echinosorex gymnura,0.7212,NA
Genetta tigrina,1.698,NA
Martes americana,1.038,NA
Scalopus aquaticus,0.048,NA
Spalacopus cyanus,0.185,NA
Cannomys badius,0.344,NA
Aplodontia rufa,0.63,NA
Galerella sanguinea,0.54,NA
Oreamnos americanus,32,NA
Eremitalpa granti,0.02062,NA
Hydromys chrysogaster,0.77,NA
Bootettix punctatus,2.73E-05,NA
Bootettix punctatus,6.68E-05,NA
Trimerotropis sp.,7.15E-05,NA
Trimerotropis sp.,0.0002203,NA
Melanoplus complanipes,4.21E-05,NA
Melanoplus complanipes,0.00024104,NA
Anconia integra,0.0008167,NA
Insara covilleae,8.20E-05,NA
Insara covilleae,0.0001032,NA
Tanaocerus koebeli,0.0001025,NA
Ceuthophilus fossor,7.02E-05,NA
Eusattus dubius,2.72E-05,NA
Eleodes grandicollis,0.00052193,NA
Eleodes armata,0.0004519,NA
Eleodes tenebrosa,5.15E-05,NA
Eleodes sp.,8.89E-05,NA
Euschides luctata,8.38E-05,NA
Trogloderus costatus,2.99E-05,NA
Anepsius brunneus,6.15E-06,NA
Sphaeriontis dilatata,4.60E-05,NA
Edrotes ventricosus,2.44E-05,NA
Cryptoglossa verrucossa,0.0002334,NA
Centrioptera muricata,0.0001326,NA
Triorophus laevis,8.46E-06,NA
Calosoma sp.,0.00015123,NA
Eucyllus vagans,7.43E-06,NA
Eucyllus unicolor,2.59E-06,NA
Miloderes sp.,3.40E-06,NA
Ophryastes varius,2.73E-05,NA
Smicronyx imbricata,3.20E-07,NA
Griburius sp.,3.31E-06,NA
Griburius sp.,9.42E-06,NA
Monoxia sp.,4.63E-06,NA
Saprinus sp.,8.21E-06,NA
Pogonomyrmex sp.,3.74E-06,NA
Lygus kalmii,1.02E-05,NA
Dendrocoris contaminatus,1.10E-05,NA
Phytocoris nigripubescens,1.27E-06,NA
Slaterocoris sp.,8.60E-07,NA
Multareoides bifuractus,1.34E-06,NA
Scolopendra michelbacheri,0.0001199,NA
Loxosceles unicolor,1.56E-05,NA
Psilochorus utahensis,1.86E-06,NA
Syspira eclectica,5.76E-05,NA
Metacyrba labyrinthea,1.12E-05,NA
Ctenophorus nuchalis,0.0343,NA
Mus musculus,0.0321,NA
Sauromalus hispidus,0.574,NA
Varanus gouldii,0.674,NA
Ptyodactylus hasselquistii,0.0064,NA
Bunopus tuberculatus,0.0022,NA
Sceloporus occidentalis,0.0131,NA
Sceloporus occidentalis,0.0152,NA
Sceloporus occidentalis,0.0128,NA
Trachemys scripta,0.305,NA
Terrapene ornata,0.354,NA
Chelydra serpentina,3.473,NA
Anniella pulchra,0.0045,NA
Homonota gaudichaudii,0.00079,NA
Varanus giganteus,2.496,NA
Varanus albigularis,0.963,NA
Uromastyx microlepis,0.06966,NA
Uromastyx microlepis,0.1982,NA
Uromastyx microlepis,0.47596,NA
Acrochordus arafurae,1.0474,NA
Aspidites melanocephalus,1.0275,NA
Antaresia praelongus,0.1055,NA
Antaresia childreni,0.3317,NA
Liasis fuscus,1.3069,NA
Liasis olivaceus,3.3232,NA
Antaresia stimsoni,0.3499,NA
Morelia spilota,1.5165,NA
Morelia variegata,2.1735,NA
Pseudonaja nuchalis,0.2141,NA
Tiliqua rugosa,0.548,NA
Varanus rosenbergi,1.287,NA
Varanus gouldii,1.086,NA
Varanus panoptes,0.931,NA
Varanus mertensi,0.904,NA
Anniella pulchra,0.00494,NA
Ophisaurus ventralis,0.03217,NA
Trogonophis wiegmanni,0.00497,NA
Thamnophis butleri,0.01904,NA
Varanus gilleni,0.0275,NA
Natrix maura,0.0225,NA
Natrix natrix,0.0375,NA
Natrix helvetica,0.0825,NA
Cnemidophorus murinus,0.0552,NA
Varanus gouldii,0.169,NA
Varanus panoptes,2.003,NA
Sphaerodactylus cinereus,0.00054,NA
Sphaerodactylus notatus,0.00033,NA
Anolis sagrei,4.00E-04,NA
Coleonyx switaki,0.00946,NA
Coleonyx variegatus,0.00362,NA
