Species,BodyMass,Longevity
Larus californicus,670.25,30
Crotophaga ani,112.63,NA
Vireo plumbeus,16,7.42
Eudocimus albus,900,27.6
Empidonax alnorum/traillii,NA,NA
Gavia adamsii,5212.5,30
Anas cyanoptera,383,12.92
Chamaea fasciata,14.7,12.6
Setophaga petechia,10,10.9
Catharus ustulatus,30.07,12.08
Certhia americana,9,8.17
Anas americana,786,21.33
Pyrocephalus rubinus,14.03,5.5
Eremophila alpestris,34.25,8
Streptopelia decaocto,154.7,17.9
Setophaga nigrescens,8.2,NA
Troglodytes pacificus,9.23,7
Pheucticus melanocephalus,45.55,25
Gavia immer,4400,24.08
Psaltriparus minimus,5.3,9.08
Melanitta perspicillata,1047,9.5
Setophaga occidentalis,10.29,9.1
Aechmophorus occidentalis/clarkii,NA,NA
Accipiter cooperii,452,20.33
Larus delawarensis,518.5,31.8
Sula leucogaster,1209.05,30
Aythya affinis,788.5,18.8
Mycteria americana,2500,27
Geothlypis trichas,9.67,11.5
Pelecanus occidentalis,3174,43
Spizella breweri,10.9,6.2
Tringa incana,111.25,NA
Spizella pallida,11.7,6.92
Trogon melanocephalus,79,NA
Melanerpes lewis,113,NA
Limnothlypis swainsonii,17.35,9.92
Columba livia,320,35
Picoides villosus,65.88,15.92
Anser albifrons,2387.5,47
Callipepla californica,171.5,9.6
Tyrannus vociferans,44.65,NA
Passerina amoena,15.15,9.92
Ammodramus maritimus,23.25,9
Bombycilla garrulus,54.45,13.5
Branta bernicla,1347.25,28.83
Calidris himantopus,57.5,11.1
Phalaropus tricolor,59.15,10
Pluvialis apricaria/dominica/fulva,NA,NA
Tringa melanoleuca,170,NA
Limnodromus scolopaceus,108.13,13.3
Limnodromus griseus,110.38,13.3
Calidris alpina,54.6,28.83
Melospiza melodia,23.35,12
Charadrius wilsonia,60.92,NA
Piranga rubra,30,7.92
Fratercula arctica,437.92,40.83
Alca torda,720,42
Setophaga citrina,10.7,8.2
Circus cyaneus,436.5,17.1
Setophaga castanea,12.11,4.92
Automolus ochrolaemus,37.6,NA
Ptychoramphus aleuticus,184,16.2
Rissa tridactyla,407.75,28.5
Archilochus alexandri,3.45,11
Sialia mexicana,27.05,8.67
Amphispiza bilineata,13.5,6
Sayornis nigricans,18.25,8
Auriparus flaviceps,7,5.6
Sterna forsteri,150,15.83
Setophaga pinus,11.9,10.2
Calidris pugnax,NA,NA
Haemorhous cassinii,27.48,7
Seiurus aurocapilla,19.4,11
Calidris bairdii,39.42,NA
Geothlypis philadelphia,12,7.92
Buteo plagiatus/nitidus,NA,NA
Heliornis fulica,132,NA
Corvus caurinus,387,16.75
Buteo jamaicensis,1126,30.67
Buteo albonotatus,757,NA
Empidonax hammondii,10.39,7
Pharomachrus mocinno,206,NA
Manacus manacus,17.23,NA
Herpetotheres cachinnans,638.25,NA
Euphonia minuta,10,NA
Asio otus,262.75,27.8
Dolichonyx oryzivorus,34.45,9
Picoides arcticus,72,4.92
Mimus polyglottos,48.5,20
Pteroglossus frantzii,216.5,NA
Anas clypeata,613,22.34
Molothrus ater,42.55,16.92
Columbina inca,48.75,13.3
Zonotrichia atricapilla,31.63,10.5
Catharus aurantiirostris,28.4,NA
Bucephala islandica,978.58,18
Coragyps atratus,2080.5,25.5
Calonectris diomedea,775.23,24.83
Ardenna gravis,NA,NA
Oceanites oceanicus,34,NA
Amazilia beryllina,4.65,NA
Asio flammeus,343.75,21.8
Thalasseus elegans,258.3,20.92
Psarocolius decumanus,221.5,NA
Rostrhamus sociabilis,382.58,17
Oceanodroma leucorhoa,40.29,36
